,Company Name,Job Summary,Job Title,Location,Salary Class
1017,DataScience,"At DataScience, we bring together the brightest data engineers and data scientists to help our customers extract the information they need from their data....",Insights Analyst,"Culver City, CA",Low
1018,Astellas Pharmaceuticals,"Agensys is announcing an Associate Scientist opportunity in Santa Monica, CA. Expertise in a wide variety of mass spectrometry hardware and data analysis...",Associate Scientist,"Santa Monica, CA",Low
1019,Cedars-Sinai,"Demonstrated aptitude to perform experimental protocols and procedures, including detailed data collection, and analysis....",Postdoctoral Scientist - Neurology,"Los Angeles, CA",Low
1020,Department of the Army,"Work that involves conducting analysis, gathering data, and reviewing a variety of narrative and/or statistical data to prepare reports....",Realty Specialist,"Los Angeles, CA",Low
1021,InVenture Capital Corporation,"Proficient in data analysis tools (ex. InVenture is backed by Data Collective (DCVC), Lowercase Capital (Chris Sacca), Google Ventures, Collaborative Fund and...",Quantitative Portfolio Analyst,"Santa Monica, CA",Low
1022,DxTerity,"Scientist, Computational Biology/Bioinformatics:. The candidate will be responsible for analyzing genomic data sets, and working with a team of scientists to...","Scientist, Computational Biology/Bioinformatics","Compton, CA 90220",Low
1023,SCAN Health Plan,"Performs data extraction and data management from multiple sources. Experience mining healthcare data, including but not limited to, eligibility, encounters,...",Pharmacy Research Analyst,"Long Beach, CA 90806",Low
1024,CHILDRENS HOSPITAL - LA,The Clinical Research Financial Analyst will be responsible for the financial management of the clinical trials of The Saban Research Institutes (TSRI). These,Clinical Research Finance Analyst,"Los Angeles, CA 90025",Low
1025,Tribogenics,"Plan, write protocols, set-up, execute, record data, analyze data and provide development suggestions following the companyâ€™s design control process and quality...",Test and Reliability Engineer,"Los Angeles, CA",Low
1026,Physical Optics,"Knowledge of image processing, distributed computing, and data fusion/mining is a plus. A fast-growing Southern California high tech company specializing in...",Research Scientist,"Torrance, CA",Low
1028,Astellas Pharmaceuticals,"Responsibility to interpret complex analytical results, troubleshoot methods, complete development, optimization, and qualification work (protocol drafting,...",Senior QC Analyst III,"Santa Monica, CA",Low
1029,Klein Hersh International,"Clean and analyze survey data using SAS. Work with a team to manage data collection, conduct statistical analyses, and create complex custom reports for health...",Programmer / Statistician / Claims Data - Pharmaceutical Con...,"Los Angeles, CA",Low
1030,"Exact Staff, Inc.","Current California Clinical Laboratory Scientist license. Maintains accurate department records, reports and statistical data as required....",Clinical Laboratory Scientist (CLS),"Los Angeles, CA",Low
1032,The Aerospace Corporation,Experience in analyzing flight and experimental data is also desired. Our state-of-the-art laboratory facilities are staffed by some of the leading scientists...,Heat Transfer Analyst,"El Segundo, CA 90245",Low
1033,Reed Elsevier,The individual will evaluate HESI data to include results on proctored exams and identification of areas of underperformance;...,Client Success Manager,"Los Angeles, CA",Low
1034,"Motion Picture Compliance Solutions, Inc.","Data Entry & Analysis:. Strong computer skills in the areas data entry and analysis, with attention to detail and accuracy....",Data Analysis Clerks (entry level),"Sylmar, CA 91342",Low
1035,The Aerospace Corporation,Generate test data for applications. Our state-of-the-art laboratory facilities are staffed by some of the leading scientists in the world....,Web Applications Test/QA Specialist,"El Segundo, CA 90245",Low
1036,The Camstoll Group,"The Camstoll Group is a tight-knit, fast-growing strategic consultancy focused on research and analysis of global policy issues. Utilizing open-source",Research Analyst Intern,"Los Angeles, CA",Low
1038,Oben,"Deep Learning Scientist. As a member of the deep learning team, you will design and develop deep learning algorithms for image recognition/retrieval/detection...",Deep Learning Scientist,"Pasadena, CA",Low
1039,Cedars-Sinai,"Participation in laboratory meetings, keeping laboratory notebooks, performing calculations, tabulating data, summarizing methods and results of related...",Research Associate II (iPSC Core),"Los Angeles, CA",Low
1040,Millward Brown North America,"Data Fluency - Strong experience with data analysis, interpretation, presentation, and delivery. Deliver insights from survey data that impact the success of...",Market Research Analyst,"Los Angeles, CA",Low
1041,Astellas Pharmaceuticals,When required present the data at project team meetings and other forums. Summarize all in vivo data sets in power point slides and prepare study reports....,"Senior Associate / Principal Associate, Pharmacology","Santa Monica, CA",Low
1042,SDL,Data structures and. Report research findings to a team of scientists and. RESEARCH ENGINEER sought by SDL Inc....,Research Engineer - Software,"Los Angeles, CA",Low
1043,Capital Group,"Req ID: 1051 Experience Level: Professional Relocation offered: No Travel required: None Come grow with us At Capital Group, how we work is defined by shared",Academic Research Analyst,"Los Angeles, CA 90071",Low
1044,MarketShare,"Experience in object-oriented programming and design patterns, handling large data sets and data mining/machine learning, statistical and mathematical modeling,...",Data Scientist,"Los Angeles, CA",Low
1045,Cedars-Sinai,"Analyzes, interprets, summarizes and compiles data. The incumbent may develop, adapt, and implement new research techniques and protocols and will analyze and...",Postdoctoral Scientist (Neurodegeneration),"Los Angeles, CA",Low
1046,Analytic Recruiting,"Integration of internal market data and risk systems, creating customized risk management analytics, and monitoring position & profit/loss reconciliation....","Quantitative Risk Analyst (SQL, Visual Studio)-Fixed Income...","Los Angeles, CA",Low
1048,Fullscreen,"Collaborate with our Data Scientist to build machine learning libraries from scratch. We are looking for a Software/Data Engineer to collaborate, assist, and...","Fullstack Software Engineer, Data Science Team","Playa Vista, CA",Low
1049,Herbalife,"Principal Scientist, Core Nutrition. Ability to expertly generate and analyze data quickly. Additionally, the principal scientist will participate in...","Principal Scientist, Core Nutrition","Torrance, CA",Low
1050,CHILDRENS HOSPITAL - LA,"This is a great opportunity to work with some of the best clinicians and data scientists in the field, as we deliver applications built on data and research to...",Applications Software Engineer II,"Los Angeles, CA 90025",Low
1051,Kaiser Permanente,Monitors data quality and integrity. Defines data purge and retention cycles. Extracts data from various databases for report generation....,Systems Administrator - Data Analysis/Data Management,"Pasadena, CA",Low
1052,Cedars-Sinai,The Cedars-Sinai Regenerative Medicine Institute is looking for a Research Postdoctoral Scientist to join the Gut Program led by Dr....,Postdoctoral Scientist (Gastroentology),"Los Angeles, CA",Low
1053,Login Consulting Services Inc.,"Hands-on development, design work on Big Data Analytics to support the data scientists. Underlying infrastructure for Big Data Solutions (Clustered/Distributed...",Big Data/Data Warehouse Lead,"Torrance, CA",Low
1054,City Of Hope,"Ability to critically interpret experimental results, and present data in a cogent and meaningful manner. The T Cell Therapeutics Research Laboratory (TCTRL) is...",Staff Scientist,"Duarte, CA 91010",Low
1055,Eurofins,"Performing data process, data entry and written documentation. Scientist I responsibilities include, but are not limited to, the following :....",Scientist I,"Monrovia, CA",Low
1056,TBWA\Chiat\Day,"Comfortable and confident collecting and interrogating statistical data. You will collaborate closely with agency planners, data analysts, and community...",Senior Research Analyst/Intelligence Officer,"Los Angeles, CA",Low
1057,NestlÃ© USA,"Automate activities associated with data sourcing and work with complex data sets. Analyzes data on markets, existing facilities, competition, costs and...",Supply Chain Optimization Scientist,"Glendale, CA",Low
1058,Cedars-Sinai,Valid California Clinical Laboratory Scientist License required. The Clinical Laboratory Scientist II functions with minimal direction from supervisory...,Clinical Lab Scientist II,"Los Angeles, CA",Low
1059,Lawrence Harvey,Currently they are looking for a Data Scientist. This role will grow into the lead data scientist candidate will be a manager and leader of application...,Data Scientist,"Los Angeles, CA 90013",Low
1060,Physical Optics,Collect and analyze data in an organized and informative manner. Assist with computer prototype and testing under the guidance of a research scientist....,Jr. Technical Support (Minor w/ Work Permit),"Torrance, CA",Low
1061,"Illumina, Inc.",Demonstrated understanding of commonly-used Genotyping data analysis software applications and/or Bioinformatics tools and programs desired....,Field Applications Scientist 1,"Los Angeles, CA 90042",Low
1062,Commercial Cleaning Systems,Make recommendations based on data analysis. Review sales history data and analyze/compare with current market research....,Market Research Analyst,"El Segundo, CA",Low
1063,Oben,"As a member of the machine language translation team, you utilize your superior technical aptitude and deep understanding of Machine Learning and Natural",Machine Learning Engineer,"Pasadena, CA",Low
1064,Beyond Meat,"Conducts process improvement activities at pilot and plant scale (including experimental design, plant sampling, documenting plant process parameters,...",Food Product Development Scientist,"El Segundo, CA",Low
1065,Techstar Consulting Inc.,"Suman.techstarData Scientist, Data Analytics skills, Adobe Analytics Suite,. Performs data studies of new and diverse data sources....",Data Scientist,"El Segundo, CA 90245",Low
1067,Public Health Institute,Assists the Research Coordinator in the development of the Data and Specimen Submission Schedule to ensure the specific requirements of the protocols as...,Scientific Writer I,"Monrovia, CA 91016",Low
1068,AT&T,"3 or more yearsâ€™ work experience with an emphasis on gathering data, structuring/solving problems, drawing conclusions, and formulating recommendations....",Market Research Analyst Entertainment Group,"El Segundo, CA 90245",Low
1069,Jet Propulsion Laboratory,"CMOS, CCD, IR detector, operation of detectors for scientific measurements, characterization, data analysis, data extraction....","Microdevices Engineer III, Advanced Sensors & Detectors","Pasadena, CA",Low
1070,Thermo Fisher Scientific,Proactively communicate with co-workers to help ensure analytical goals are achieved Coordinate and interact closely with other scientists on data quality and...,"Staff Scientist, Bioinformatics","Canoga Park, CA",Low
1071,Synthetic Genomics,Proficiency in working with databases and data management platforms (SQL/NoSQL). Experience in efficient pipeline development for large next-generation...,Bioinformatics Scientist,"Los Angeles, CA",Low
1072,Exponent,"Remote Sensing Data Analysis. Our multidisciplinary team of scientists, engineers, physicians, and regulatory consultants brings together more than 90 different...",Principal Engineer (Water Resources),"Los Angeles, CA 90066",Low
1073,Ciber,"Hands-on development, design work on Big Data Analytics to support the data scientists. Big Data Specialist. Underlying infrastructure for Big Data Solutions...",Big Data Specialist,"Torrance, CA",Low
1074,NestlÃ© USA,"Summarizes data for use in commentaries to divisions, subsidiaries, branches and departments. Participate as a data analyst in the selection of sites for plants...",Analyst Supply Chain Optimization,"Glendale, CA",Low
1075,The Aerospace Corporation,Our state-of-the-art laboratory facilities are staffed by some of the leading scientists in the world. Participate in the development of digital communication...,Graduate Summer Intern - Digital Signal Processing,"El Segundo, CA 90245",Low
1076,MJK Concepts,Speech Synthesis Research Scientist*. This company is a stealth-mode investor-backed technology company located in Southern California....,SPEECH SYNTHESIS RESEARCH SCIENTIST,"Pasadena, CA",Low
1077,California Institute of Technology,NExScI anticipates hiring a part time staff scientist to serve as Project Scientist to support the science operations and data archive for the LBTI ....,Scientific Research Senior,"Pasadena, CA",Low
1078,The World Bank,"The Research analyst will play a leadership role in supporting research assistants and field coordinators engaged in data collection and data analysis,...",Research Analyst,"Washington, DC",Low
1079,Department Of Education,"Analyze data of extreme complexity largely through Federal Student Aidâ€™s Enterprise Data Warehouse (EDW), a 40-terabyte system of financial transactions and...","Statistician (Predictive Analytics), GS-1530-13/14(DE)","Washington, DC",Low
1080,Truth Initiative,The Data Scientist will be responsible for gathering and analyzing data across the digital tools that our team develops;...,Data Scientist - EX,"Washington, DC 20001 (Shaw area)",Low
1081,"Sotera Defense Solutions, Inc.","The Data Scientist will work with a diverse team of highly skilled Analysts, Software Engineers, Mathematicians, Economists, and other Data Scientists....",Data Scientist,"Arlington, VA",Low
1082,IHS,"Demonstrated ability to understand problems and conceptualize solutions through mastery of data manipulation, exploratory data analysis, modeling, and...",Data Scientist,"Washington, DC",Low
1083,Leidos,O Data Lifecycle. O Statistical data analysis and use of data analysis tools (e.g. O Data preparation and visualization/presentation....,Data Scientist,"Washington, DC",Low
1084,MRIGlobal,"Looking for an entry level scientist. Experience with research, sample preparation/tracking data, while gaining a....","Assistant Scientist, Sample Analysis","Rockville, MD 20850",Low
1085,General Dynamics Information Technology,Data Scientists work closely with the business; Data Scientist candidates will be responsible for modeling complex Institute problems;...,Data Scientist,"Lanham, MD",Low
1086,Working America,"Technical skills such as power analysis, data visualization, statistics and data mining; The Data Scientist and Political Associate will conduct statistical...",Data Scientist and Political Associate,"Washington, DC",Low
1087,IBM,"As an Advanced Analytics Data Scientist, you'll team with some of the best minds in the industry to create innovative world class solutions focused on clients'...",Advanced Analytics Data Scientist,"Washington, DC 20005 (Logan Circle area)",Low
1088,Atlantic Media,"Excellent quantitative and data management skills, including statistical analysis and experience creating graphical representations of data....",Research Analyst,"Washington, DC 20037 (Foggy Bottom area)",Low
1089,Centra Technology,"Familiarity with techniques to extract, transforms, and load various data sets for both high volume and complex â€œbig dataâ€ù data sets is desired. U.S....","Quantitative Analyst (Junior, Mid-level, Senior-level)","Washington, DC",Low
1090,Accenture,The Data Scientist will be involved in the following:. Give analytic guidance and recommendations to Accenture data scientist analyst and three functional...,Federal - Data Scientist,"Washington, DC 20006 (Foggy Bottom area)",Low
1091,The Advisory Board Company,"Associate Data Scientist, Analytics. Support the data science team by performing analysis on healthcare and consumer marketing data....","Associate Data Scientist, Analytics","Washington, DC 20005 (Logan Circle area)",Low
1092,The Advisory Board Company,"Data Scientist, Analytics *LI. Our AudienceRx data science team is seeking a data scientist to join us in building a world-class solution to help our healthcare...","Data Scientist, Analytics","Washington, DC 20005 (Logan Circle area)",Low
1093,Department Of Commerce,"Analyze and evaluate data. Assist in data collection operations. Work on project activities usingdemographic or economic data for persons, households,...","Recent Graduate Statistician GS-1530-7/9/11, Census-D-TH","Washington, DC 20230 (Downtown area)",Low
1094,Quantifind,Our Data Scientists are tasked with qualitatively understanding that data and then designing algorithms and processes to make it useful....,Data Scientist,"Washington, DC",Low
1095,Department Of The Interior,"Data collection tools; Identify precise operational definitions of the data elements, data sources, and reporting formats for various performance management and...","Education Research Analyst, GS-1730-13","Washington, DC",Low
1096,Applied Communication Sciences,"You will be responsible for working with large and complex data sets, evaluating existing data processes and making recommendations to enhance data quality and...",Data Scientist,"Washington, DC",Low
1097,The World Bank,"Contributes to the development of GPEâ€™s data visualization platform and other knowledge mobilization efforts by providing data, analyses and by quality assuring...",Education Statistician,"Washington, DC",Low
1098,General Dynamics - Information Technology,Research Scientist (Diagnostics and Immunology). Provides guidance and work leadership to less-experienced scientists;...,Principal Scientist - Diagnostics and Immunology,"Silver Spring, MD",Low
1099,Allegheny Science & Technology,"Understanding of Data Management, Data Storage and Data Analysis. AST is seeking Junior Data Scientist supporting a customer in the Intelligence Community....",Junior Data Scientist,"Bethesda, MD",Low
1100,Metabiota,"Advanced proficiency in Excel, or other data management software. Interact with scientists at Metabiotaâ€™s US-based offices, as well as international teams....",Scientific Data Management Intern,"Washington, DC 20036 (Downtown area)",Low
1101,Booz Allen Hamilton,Develop and employ data science methodologies to organize and analyze data to identify risks. 3 years of experience with data science....,Data Scientist,"Washington, DC",Low
1102,"Aledade, Inc.",Weâ€™re looking for awesome data scientists who are looking to disrupt the healthcare space. The ideal candidate will use our unique data sets and analytics...,Data Scientist,"Bethesda, MD",Low
1103,Federal Reserve Board of Governors,Passionate about data maintenance and data quality control. Transforms data into actionable information. Utilizes data mining techniques to optimize decisions...,Data Scientist,"Washington, DC",Low
1104,The Rock Creek Group,Rock Creek is seeking a Data Scientist Intern. The candidate should possess prior academic or professional experience with data mining and/or the manipulation...,Data Scientist Intern,"Washington, DC 20036 (Downtown area)",Low
1105,Mid-Atlantic Permanente Medical Group,"Maintain data integrity. Oversee all phases of SAS/SQL/analytical programming, data management, macros, quality control and reporting of research data....",Research Data Analyst,"Rockville, MD",Low
1106,Quantum Strides LLC,"With the use of Microsoft and other open source Data Platforms, Quantum Strides enables its clients get insights from data and make critical business decisions...",Data Scientist (Washington DC Metro),"Washington, DC",Low
1107,Accenture,Give master data management guidance and recommendations to Accenture data scientists and three functional management consultants....,Federal - Data Scientist Analyst,"Washington, DC 20006 (Foggy Bottom area)",Low
1108,Children's Hospital,RESEARCH DATA ANALYST. Position Summary The Research Data Analyst will work closely with senior staff to generate both statistical and graphical analysis of...,Research Data Analyst,"Washington, DC",Low
1109,Office of the State Superintendent of Education,"Provides staffing support and research to assist the Division of Data Accountability & Research in its efforts to standardize data across public schools, public...",Education Research Analyst,"Washington, DC",Low
1110,Ipsos North America,"Associate Research Scientist, Behavioral Science. Working with senior researchers on all aspects of project design, data collection and report preparation....","USPA - Associate Research Scientist, Behavioral Science","Washington, DC",Low
1111,CACI International Inc,"As a Data Scientist supporting the Defense Advanced Research Projects Agency (DARPA), you will work as part of a team of data scientists, software developers,...",Data Scientist Job,"Arlington, VA",Low
1112,Child Trends,Selects appropriate statistical techniques to analyze collected data. Participates in interpreting data from policy and program perspectives....,"Research Scientist - Early Childhood, NC","Bethesda, MD 20814",Low
1113,Booz Allen Hamilton,"Perform as a data scientist with a focus on computer science and apply knowledge of and expertise in distributed, scalable Big Data store, including Accumulo,...","Data Scientist, Junior","Alexandria, VA",Low
1114,AstraZeneca,We are looking for exceptional Statisticians to join our world-class Biometrics community. Due to continued development of our pipeline we have immediate,Statistician Opportunities-- Biometrics & Information Scienc...,"Gaithersburg, MD 20899",Low
1115,Outsourced Infrastructure Solutions,ï»¿Conduct pre-screening of Trade Adjustment Assistance (TAA) petitions to ensure their validity and to identify data needed for their review....,Research Analyst,"Washington, DC",Low
1116,Verizon,"Have advanced data mining, data manipulation and database administration skills needed for importing, cleaning, transforming, validating or modeling data with...",Business Intelligence Analyst,"Silver Spring, MD 20904",Low
1117,Data Society,"Data Society, a rapidly-growing, D.C.-based data science education startup, is looking for data scientists to assist with data science course creation....",Part-time Data Science Course Creator,"Washington, DC",Low
1118,Impact Research,Impact Research is looking for a talented data scientist to join our growing company. Demonstrated experience in text mining or other high-dimensional data....,Data Scientist/Statistician,"Columbia, MD 21044",Low
1119,Newmark Grubb Knight Frank,"Collection, data input/verification, and review. Collect, analyze, and interpret market data. Responsible for addressing issues of data quality....",Research Analyst,"Washington, DC 20006 (Foggy Bottom area)",Low
1120,Avalere Health LLC,"ï‚· Experience working with data scientists, programmers, and research analysts. Data Analytics (DAP). Projects in our Data Analytics practice include....","Manager, Project Management - Data Analytics","Washington, DC 20036 (Downtown area)",Low
1121,The Vision Council,"Analysis of Quantitative Data. Quantitative data, developing interpretative analysis of reports and programs,....",Research Analyst,"Alexandria, VA",Low
1122,IBM,"The Advanced Analytics Senior Data Scientist will be responsible for:. Using industry technologies, tools and data mining frameworks for data analytics...",Advanced Analytics Senior Data Scientist,"Washington, DC 20005 (Logan Circle area)",Low
1123,Association of American Medical Colleges,"Maintain and enhance recurring data collections and data reports on a variety of topics, such as applicants, students, graduates, residents, faculty, hospital...",Research & Data Analyst,"Washington, DC 20037 (Foggy Bottom area)",Low
1124,Vencore,Handle processing and index requests against high-volume collections of data and high-velocity data streams....,Journeyman - Data Scientist,"Springfield, VA",Low
1125,TransVoyant,Understanding of Hadoop stack and data analytics tools to exploit massive sets of TransVoyant data (e.g. TransVoyant is seeking a Data Scientist to lead live...,Data Scientist,"Alexandria, VA 22303",Low
1126,2M Research Services,Proficiency in using qualitative data analysis software such as NVivo or ATLAS.ti is also required. We are seeking a highly qualified Qualitative Research...,Qualitative Research Analyst,"Washington, DC 20006 (Foggy Bottom area)",Low
1127,Vencore,"You will be responsible for working with large and complex data sets, evaluating existing data processes and making recommendations to enhance data quality and...",Data Scientist,"Washington, DC",Low
1128,MOJA,MOJA is seeking a Data Scientist. Demonstrated experience or academic experience with large data sets and technical data....,Data Scientist,"Herndon, VA",Low
1129,ByteCubed,Ability to building data models working with structured and unstructured data to include open source data. Currently seeking a dynamic and resourceful Senior...,Senior Data Scientist - Machine Learning,"Arlington, VA",Low
1130,US News & World Report,"1-3 years of experience in research analysis, data entry and data management. Write consumer-focused content based on rankings data, pricing and sales trends,...","Research Analyst, Autos","Washington, DC 20007 (Georgetown area)",Low
1131,Vistronix,"Includes statistical analyses, data visualization, data mining, and data cleansing / transformation. We are currently seeking a Data Scientist to work on-site...",Data Scientist,"Washington, DC",Low
1132,CACI International Inc,"Experience as Data Scientist within the IC/DoD is highly desired. Initiate the efficient implementation of methods, tools, algorithms, including preliminary...",Data Scientist Senior Job,"Washington, DC",Low
1133,Legislative Branch,"Or in the social sciences including demography, history, economics, social welfare, geography, international relations, social or cultural anthropology, health...",Senior Statistician,"Washington, DC",Low
1134,Legislative Branch,About the Agency GAO's work is designed to address four common goals: - to help the Congress address current and emerging challenges to the well-being and,Senior Mathematical Statistician,"Washington, DC",Low
1135,Systems Planning and Analysis,The Data Scientist should be a thought leader who values and seeks collaboration with colleagues with diverse backgrounds to improve their analysis products and...,Associate Scientific/Data Analyst (SEAD/SSAG),"Alexandria, VA 22311 (Alexandria Wrest area)",Low
1136,"Resolvit, LLC","As the Principal Data Analyst , you will perform data collection, analysis, interpretation, and management, developing rules and methodologies for data...",Principal Data Analyst,"Washington, DC",Low
1137,Ipsos North America,"Working with senior researchers on all aspects of project design, data collection and report preparation....","Associate Research Scientist, Behavioral Science - USPA","Washington, DC",Low
1138,EverFi,"Experience organizing, cleaning, and analyzing data using one or more of these analytical tools:. Assist with a significant portion of the data set-up effort...",Research Analyst,"Washington, DC 20007 (Georgetown area)",Low
1139,GEICO,"Evaluate new sources of data for use in modeling insurance risk. , you will apply data-mining, statistical and advanced modeling techniques to a myriad of types...","Modeling Analyst - Data Mining, Statistical Analysis and Dec...","Chevy Chase, MD",Low
1140,GEICO,"As a Data Scientist, you will responsible for analyzing large, complex datasets and identify meaningful patterns that lead to actionable recommendations....",Data Scientist,"Chevy Chase, MD",Low
1141,Booz Allen Hamilton,"Perform as a data scientist with a focus on computer science, applying knowledge and expertise in distributed, scalable Big Data store, including Accumulo,...","Data Scientist, Mid","Alexandria, VA",Low
1142,Columbus Technologies and Services,Develop code in the R statistical language for data analysis and the graphical representation of complex data....,Bioinformatics Scientist,"Bethesda, MD",Low
1143,The Johns Hopkins Applied Physics Laboratory,"Extensive experience with data transformation/conversion â€“ extracting, transforming, parsing, porting data into defined data structures....",Lead Data Scientist,"Laurel, MD",Low
1144,"OMNITEC Solutions, Inc","If you enjoy hands-on work with things like universal data definitions, data curation, data harmonization or data QA/QC, this is the job for you!...",Scientific Data Analyst / Curator,"Rockville, MD",Low
1145,Booz Allen Hamilton,Ability to perform trend analysis on large data sets and comprehend the dynamics of underlying relationships....,Language-Enabled Data Scientist,"McLean, VA",Low
1146,Invincea,"Experience leading a team of data scientists and engineers. 5+ years professional experience as a researcher, engineer, or scientist....",Principal Research Engineer - Data Science,"Arlington, VA",Low
1147,Concurrent Technologies Corporation,"Associate Data Scientist. CTC has an opportunity for a qualified Associate Data Scientist at Springfield, VA. Responsibilities include preparing thorough, well...",Associate Data Scientist,"Springfield, VA",Low
1148,The Johns Hopkins Applied Physics Laboratory,Perform exploratory analysis and pre-processing of data sources with the intent of visualizing data and discovering statistical properties and other key...,Machine Learning Developer,"Laurel, MD",Low
1149,JPMorgan Chase,"1,000,000 data points and more). Experience working with big data (e.g. Work alongside other analysts, Research Directors, PhD fellows, academic advisors, and...","JPMorgan Chase Institute Research Analyst - Washington, DC","Washington, DC",Low
1150,TechINT Solutions Group,"Position : TSG\_0019 Signature Research Analyst Location : Northern Virginia/DC area Clearance : TS/SCI, DIA Poly desirable *CONTINGENT UPON AWARD OF",Signature Research Analyst,"Washington, DC",Low
1151,Millennium Engineering and Integration Company,"Assists in the definition of machine learning and data mining strategies. Experience with operations research tools, machine learning, data mining, decision...",Operations Research Analyst 2,"Silver Spring, MD",Low
1152,Lockheed Martin,"To perform these duties, the Senior Data Scientist will:. The Senior Data Scientist will be fully integrated into the teamâ€™s efforts, from analysis of initial...",Data Scientist,"Herndon, VA 20171",Low
1153,Leidos,"Strong data analysis skills using R or a comparable platform, and one programming language, e.g. Python, Perl, C/C++, Java....",Machine Learning (ML) Senior Researcher,"Arlington, VA 22202 (Aurora Highlands area)",Low
1154,Coverent,"Coverent is seeking a data scientist to lead quantitative research and program evaluation activities as part of a multidisciplinary, mission-focused data...",Data Scientist,"McLean, VA",Low
1155,Vencore,"Identify, retrieve, manipulate, relate and/or exploit multiple structured data and unstructured data sets from various sources, including building or generating...",Senior - Data Scientist,"Springfield, VA",Low
1156,Praxis Engineering,Mentor data scientists to support employee and product development. The Data Scientist will be developing highly complex programmatic and quantitative methods...,Data Scientist,"Reston, VA",Low
1157,ROI Checker,"Passion for data analysis and modeling, with strong analytical skills. ROI Checker is deploying the next generation of artificial intelligence technology to...",Data Scientist Intern,"Vienna, VA 22180",Low
1158,DigitalGlobe,"All-Source Geospatial Data Scientist. Working knowledge of collection process and data structure, and all source analysis of at least one intelligence...",All-Source Geospatial Data Scientist,"Washington, DC",Low
1160,Sapphire Research,"Support data management processes and user requests. Conduct data mapping and extract, transform, load (ETL) activities....",Data Scientist - Statistician,"Washington, DC",Low
1161,Asymmetrik,Asymmetrik is a fierce and nimble technology and analytics firm that uses agile methodology to make a positive impact for our clients. We tackle big problems,Data Scientist,"Annapolis Junction, MD 20701",Low
1162,HelloWallet,"This includes the environment for running optimized email campaigns, ingesting customer data, and assisting with visualizations and reporting from our analysts...",Junior Data Analyst â€“ Client Success,"Washington, DC",Low
1163,Advanced Concepts and Technologies International,Understanding with development and maturation techniques for algorithms and a functional understanding of data links....,Scientist/Engineer III (Mission System Software Engineer),"Arlington, VA",Low
1164,SciMetrika,"Seeking Bioinformaticians, Biologist, or Applied Scientist with expertise in biomedical data types and standards, application of structured vocabularies and...",Bioinformatics Analyst (Multiple levels of experience),"Washington, DC 20001 (Shaw area)",Low
1165,"Veterans Management Services, Inc.","Procurement Data Quality Algorithms. Procurement Data Quality Algorithm Analysis, Testing and Validation Report....",Data Statistician,"Sterling, VA",Low
1166,Ascent Pharma,"Review clinical data for outliers, invalid and illogical data points and communicate issues to Data Management as necessary....",Senior Statistical Programmer Analyst (Home Based),"Gaithersburg, MD",Low
1168,Aptima,"Aptima currently has openings for experienced, creative data scientists to help develop big-data applications in the DC Metro area....",Data Scientist/Software Engineer,"Washington, DC 20036 (Downtown area)",Low
1169,National Opinion Research Center (NORC),"Experience with and knowledge of the principles of quantitative and qualitative research design, data collection, and data analysis....",Senior Research Scientist - Medicare/Medicaid,"Bethesda, MD",Low
1171,ASRC Federal,"With other members of the Data Lake team (i.e., Data Architect, Data Scientist). The Data Scientist will define....",Data Scientist,"Reston, VA",Low
1172,Praxis Engineering,The mid-level Data Scientist will be working with established programmatic and quantitative methods to find patterns and relationships in large data sets;...,Data Scientist - Mid,"Reston, VA",Low
1173,Atlantic Media,Synthesize large quantities of quantitative and qualitative data. Ability to produce visual research summaries from data and present the findings to team...,"Research Analyst, Policy Brands Roundtable","Washington, DC 20037 (Foggy Bottom area)",Low
1174,"RadiantBlue Technologies, Inc.",8-12 years of experience in advanced data analytics. RadiantBlue Technologies is looking for a Data Scientist to apply knowledge and expertise of deep learning...,Data Scientist,"Chantilly, VA",Low
1175,"INNOVIM, LLC","INNOVIM, LLC is seeking a Scientist experienced in high performance computing to support development and operational implementation of a global ocean data...",Ocean Data Assimilation,"College Park, MD",Low
1177,Berico Technologies,"Perform as a senior data scientist. This program will provide specialized analysis, data science, mapping, linguist, and multi-media services at CONUS and...",Data Scientist,"Gaithersburg, MD",Low
1178,Booz Allen Hamilton,"Develop machine learning, data mining, statistical, and graph-based algorithms to analyze massive data sets....",Data Scientist Programmer,"Annapolis Junction, MD",Low
1180,Vencore,"Analyzes problems in terms of such factors as user requirements, input data and form, output data form, available computer configuration, processing turnaround...",Remote Sensing Data Scientist,"Silver Spring, MD",Low
1181,Crowdskout,Weâ€™re looking for a data scientist to join our team and help us build a strong data backbone. Experience with data mining websites and social media....,Data Scientist,"Washington, DC",Low
1182,WGL,Develops sufficient knowledge to correlate data across multiple corporate platforms and related but disparate data sets....,Data Quality & Analysis Specialist,"Springfield, VA",Low
1183,Deloitte,"Data Scientist, Market Development (Senior Consultant). The Data Scientist will play a key role developing deeply analytical research products aimed at changing...","Senior Consultant, Data Scientist","Arlington, VA 22209 (Radnor-Ft Myer Heights area)",Low
1184,BAE Systems,"Data Stories â€“ Document and visualize data both temporally and spatially to assist in data integrity checks, ask the question, and display analytical...",Data Scientist,"Springfield, VA",Low
1186,S2 Analytical Solutions,"Ability to interpret rich data sources, manage large amounts of data, merge data sources together, ensure consistency of data-sets, and present and communicate...",Data Scientist,"Springfield, VA 22150",Low
